date,coin,entry_px,exit_px,net_ret_pct,cum_index
2025-07-18,DOGE,0.24057,0.25313,5.02,105.02
2025-07-20,AVAX,24.93000,25.67000,2.77,107.93
2025-07-21,DOGE,0.26901,0.26590,-1.36,106.47
2025-07-22,ADA,0.86930,0.86170,-1.07,105.33
2025-07-24,XLM,0.42050,0.42460,0.78,106.15
2025-07-25,DOGE,0.23179,0.23914,2.97,109.30
2025-07-28,AVAX,27.09000,24.96000,-8.06,100.49
2025-07-29,AVAX,24.96000,23.70000,-5.25,95.22
2025-07-31,XLM,0.42760,0.38680,-9.74,85.94
2025-08-01,XLM,0.38680,0.38260,-1.29,84.83
2025-08-02,DOGE,0.19950,0.19690,-1.50,83.55
2025-08-04,XLM,0.41250,0.40710,-1.51,82.29
2025-08-08,XLM,0.46390,0.45580,-1.95,80.69
2025-08-09,ETH,4219.62000,4225.37000,-0.06,80.64
